K,C,X,Y,R,S,df,ConfigID,rewards
218,460,224,128,5,5,eye,766,253920001
332,36,40,248,1,1,shi,767,2096641.0
168,226,168,160,1,1,shi,767,20730529
146,46,56,40,5,5,shi,757,8767739
74,66,208,168,9,9,shi,757,237530899
424,466,56,144,9,9,eye,763,256464033
78,402,8,16,1,1,eye,93,566017
370,48,248,128,1,1,eye,767,9904129
268,474,224,152,3,3,eye,765,232923601
38,422,48,72,1,1,shi,573,1782529
104,456,208,72,1,1,shi,575,22194433
158,14,200,80,5,5,shi,757,21766081
290,484,224,112,7,7,eye,765,441067265
42,10,40,208,3,3,dla,138,3005953
182,266,256,32,9,9,eye,762,47139457
94,68,160,56,9,9,shi,757,78752637
310,372,200,176,5,5,eye,765,405234481
12,326,144,32,1,1,eye,767,406849
458,124,24,1,1,1,eye,574,62497
348,284,192,64,7,7,eye,767,130977109
56,210,96,72,7,7,shi,571,103761421
500,342,96,88,7,7,dla,765,1087074001
330,70,72,232,7,7,eye,766,74844001
304,414,40,192,7,7,shi,763,629264269
86,482,192,168,7,7,eye,757,147734929
460,4,240,8,1,1,eye,766,64513
482,468,152,224,9,9,eye,570,1320613633
222,104,152,32,7,7,eye,761,13621921
368,52,136,184,5,5,eye,571,51925537
352,248,96,72,1,1,shi,766,18284545
508,66,48,144,1,1,shi,767,5312737
220,364,144,56,1,1,shi,766,12579841
412,352,160,152,7,7,eye,759,449973217
186,244,80,24,1,1,eye,766,2389249
194,292,248,16,5,5,eye,760,17218657
10,210,184,168,7,7,eye,765,7423921
160,244,232,200,3,3,eye,765,93789697
154,136,168,24,9,9,eye,766,10190209
306,90,136,248,9,9,shi,764,1142322481
222,18,208,144,9,9,dla,281,490116801
232,172,160,192,9,9,eye,763,203944357
298,374,80,240,7,7,shi,757,1618951753
446,512,136,112,5,5,shi,757,1513288705
248,268,32,8,1,1,eye,383,585313
38,294,232,8,3,3,eye,757,849073
4,122,248,168,1,1,shi,761,453841
320,502,192,88,3,3,shi,573,551444993
134,334,56,216,9,9,eye,565,87542737
396,216,160,40,1,1,shi,767,14826241
52,48,208,16,7,7,eye,759,983425
240,458,184,40,3,3,eye,767,38939161
352,236,120,152,5,5,shi,766,723270145
236,348,80,104,5,5,shi,759,312743425.0
388,120,120,88,1,1,shi,767,12355201
498,260,104,104,9,9,shi,569,2014147721
424,454,56,72,5,5,shi,763,501018965
208,226,40,224,1,1,shi,766,8244481
72,436,88,192,3,3,eye,575,36498433
476,222,216,32,1,1,shi,575,24935041
60,330,112,248,1,1,dla,767,10832641
72,378,72,240,9,9,eye,767,57375865
106,358,240,144,9,9,eye,757,197936769
216,44,176,120,3,3,eye,767,10359361
508,446,224,192,9,9,eye,759,1546326601
218,84,208,168,7,7,eye,757,87018625
148,428,240,152,5,5,shi,759,1123469185
224,96,168,40,7,7,shi,763,170763265
98,384,128,56,1,1,shi,766,5308417
486,142,256,48,1,1,eye,767,14531713
212,232,64,16,9,9,dla,759,30867201
58,160,160,40,5,5,shi,757,36340481
8,440,96,200,5,5,shi,764,32417441
42,116,152,104,1,1,eye,766,1737217
458,326,160,256,5,5,shi,764,2336418529
468,208,64,160,7,7,dla,767,820707889
108,124,224,88,5,5,dla,767,100124641.0
48,394,144,168,7,7,shi,767,383743393
226,246,176,248,5,5,shi,757,960142921
376,364,160,240,3,3,shi,763,782109329.0
310,282,176,216,5,5,shi,765,1504847881
6,226,248,88,7,7,shi,573,32174717
176,162,184,208,9,9,eye,766,159532417
502,70,152,256,3,3,eye,767,81717301
8,388,232,240,1,1,eye,767,3352321
38,82,56,40,1,1,eye,765,144321
32,328,248,248,3,3,eye,763,31414529
250,70,176,216,9,9,eye,765,102186001
320,66,152,208,5,5,dla,573,485004289
328,64,96,176,1,1,shi,766,6635521
244,168,40,168,3,3,shi,759,42457465
504,26,168,136,3,3,shi,575,58915585
32,236,200,88,7,7,shi,763,143631489
178,124,232,224,5,5,eye,767,98535361
388,282,144,120,3,3,eye,765,120098161
332,42,72,40,9,9,dla,759,55244801
254,26,16,152,1,1,shi,765,356929
350,456,184,88,7,7,eye,765,282108961
340,110,88,16,7,7,eye,573,7345361
156,404,160,104,1,1,eye,767,21302113
332,4,120,176,9,9,shi,759,36155797
54,78,232,160,1,1,eye,766,2995201
474,332,192,104,3,3,eye,761,147139081
126,432,120,216,5,5,eye,764,117548929
128,482,104,80,9,9,dla,763,574193665
438,138,240,208,9,9,shi,761,4544502289
120,8,168,256,7,7,eye,767,5088961
222,56,232,64,5,5,eye,761,15017857
110,424,152,40,9,9,dla,766,287723521
316,100,160,56,7,7,shi,759,238627401
394,168,144,88,7,7,dla,760,659745433
12,246,160,24,5,5,eye,767,888553
46,444,176,40,7,7,dla,757,92127421
232,86,224,96,9,9,eye,703,64744241.0
86,372,72,144,5,5,eye,565,45684577
154,118,120,96,1,1,eye,766,3806209
154,428,216,144,5,5,eye,766,185224705
138,146,136,56,1,1,eye,765,3777313
264,172,88,80,5,5,eye,575,36447489
310,394,40,216,3,3,eye,573,80026129
8,40,136,8,1,1,eye,765,8641
364,266,160,256,7,7,eye,762,513886465
144,48,232,80,3,3,shi,767,28704385
140,38,176,80,9,9,eye,765,10354849
314,282,48,120,3,3,shi,764,73867081
258,394,1,32,1,1,shi,381,112685
258,182,112,184,9,9,eye,761,152450481
464,106,104,224,7,7,shi,763,945070561
180,32,96,216,1,1,shi,767,2396161
8,154,208,112,9,9,eye,764,4797409
214,134,112,112,7,7,dla,568,356563225
18,372,80,232,1,1,shi,764,2380801
212,396,152,88,7,7,eye,675,148846897.0
102,78,168,32,1,1,eye,763,876097
276,102,104,200,7,7,eye,767,77380465
308,150,240,24,3,3,eye,766,13440001
80,140,136,144,3,3,shi,765,40672801
284,182,192,136,9,9,shi,759,1541258629
100,482,88,56,9,9,eye,765,46908241
346,346,176,240,5,5,shi,757,2067495321
210,400,176,64,9,9,eye,765,143060401
340,264,136,104,7,7,eye,573,185103073
42,90,104,72,1,1,shi,574,898561
52,52,192,224,1,1,eye,764,2096641
380,196,56,120,7,7,dla,765,425402401
360,52,160,112,7,7,eye,767,44104321
100,60,224,232,1,1,shi,765,5913601
58,498,224,112,1,1,eye,767,14501761
236,304,168,96,9,9,eye,759,174876001
240,180,224,16,5,5,eye,767,13003201
258,48,80,120,5,5,dla,569,57242289
152,344,16,256,1,1,shi,766,3698689
26,210,168,32,7,7,eye,757,3243241
472,372,40,112,7,7,eye,763,138009025
204,450,224,40,5,5,dla,767,324213121
230,306,168,160,5,5,dla,765,738482161
368,30,56,208,7,7,eye,763,15727861
186,294,88,216,9,9,eye,569,213048865
16,78,80,40,9,9,shi,571,7279585
482,376,104,72,5,5,shi,762,909077761
468,444,200,224,9,9,eye,767,1213089697.0
16,178,232,56,7,7,shi,763,31550501
496,310,176,56,5,5,dla,763,557300641
208,248,104,232,9,9,eye,763,209237601
404,136,88,64,3,3,eye,764,21077281
46,350,48,200,1,1,shi,659,3494401.0
128,114,208,112,7,7,shi,763,288969025
246,392,232,168,9,9,eye,761,563548609
200,188,56,144,9,9,eye,573,48789761
330,392,96,1,1,1,eye,766,282241
82,70,208,152,3,3,eye,767,10682001
500,270,152,40,3,3,eye,765,47911501.0
490,402,72,136,7,7,shi,573,1911690901
146,252,160,32,3,3,eye,762,10160641
416,382,96,56,3,3,shi,763,135075201
454,304,56,104,3,3,dla,767,114070681
184,438,96,32,1,1,eye,766,5718529
42,318,216,256,3,3,shi,762,103444129
398,310,208,152,9,9,eye,762,642339841.0
326,48,160,88,9,9,eye,757,34433425
372,378,240,184,7,7,eye,767,717797809
8,374,240,232,1,1,dla,763,3006721
134,400,160,56,9,9,dla,757,557757313
158,250,208,112,1,1,shi,765,18304001
368,504,128,184,7,7,shi,763,3327506785
142,82,176,160,3,3,shi,766,55274233
194,172,80,224,5,5,dla,760,246486241.0
378,434,168,40,5,5,eye,764,98868673
188,452,80,136,9,9,shi,759,991499969.0
320,432,112,72,3,3,eye,765,60383233
34,40,8,88,1,1,shi,575,24961
344,122,168,168,3,3,shi,763,188981905
482,348,80,32,7,7,dla,762,274008385
90,40,120,96,1,1,shi,765,950401
296,382,240,104,7,7,eye,727,311061073.0
432,450,184,40,1,1,eye,767,25272001
376,266,128,80,1,1,eye,767,17704961
510,160,232,64,3,3,eye,765,62375041
108,140,104,104,3,3,eye,767,9339121
504,94,152,144,1,1,shi,575,23403745
28,402,56,72,7,7,eye,762,5531521
432,92,184,152,1,1,shi,767,23766913
306,336,168,256,5,5,shi,764,1687690369.0
496,376,56,96,3,3,dla,763,137843857
380,388,144,72,3,3,shi,573,378272065
430,300,232,56,5,5,eye,765,142467601
358,356,256,16,1,1,shi,767,35543041
500,62,256,56,1,1,eye,767,7582849
270,14,120,160,3,3,shi,765,12088441
74,28,88,88,5,5,eye,757,1796425
390,102,168,24,3,3,dla,765,25921897
238,360,1,248,1,1,eye,287,23212801
138,62,8,200,1,1,eye,573,1909601
24,392,184,104,5,5,dla,767,75852001
210,466,16,40,1,1,eye,573,4305841
268,366,40,64,1,1,eye,765,6956929
60,138,224,40,7,7,eye,767,8128201
344,312,240,64,3,3,eye,763,82266913
322,288,112,200,3,3,eye,767,111881089
16,402,56,160,3,3,dla,763,8719705.0
260,370,48,104,1,1,eye,767,11005281
194,428,24,128,1,1,eye,766,11833345
434,144,1,136,1,1,shi,766,207361
330,110,128,80,3,3,shi,574,82605601
492,492,256,160,7,7,eye,767,1045555105
166,192,216,48,7,7,eye,733,37863937.0
110,240,184,144,5,5,shi,766,356659201
110,346,40,24,1,1,shi,766,1660801
380,224,16,184,1,1,eye,191,17145857
68,414,144,72,3,3,eye,759,18749233
250,390,88,64,3,3,eye,765,37264501
510,10,104,104,9,9,shi,765,79326421
140,158,144,24,7,7,eye,573,9774829
166,496,1,96,1,1,eye,575,8666113
12,286,72,96,7,7,dla,767,17493301
426,24,56,96,3,3,eye,766,2995201
312,208,136,160,3,3,shi,767,235523809
74,322,256,200,3,3,eye,760,58655521
276,248,40,40,5,5,shi,767,61648833
362,374,48,152,9,9,shi,565,1316986771
190,226,152,56,5,5,shi,765,159006821
56,370,32,16,1,1,shi,571,745921
58,192,120,160,5,5,shi,757,97284097
310,228,208,184,9,9,shi,765,3435535693
356,494,216,136,3,3,eye,726,290234881.0
288,156,248,128,5,5,eye,767,112694401
52,502,128,208,5,5,shi,759,324342201
372,250,256,192,5,5,shi,767,1758885751
470,122,56,104,3,3,eye,765,17740997
70,98,232,224,9,9,eye,765,53409217
120,350,168,240,9,9,eye,767,265629001
70,424,152,112,1,1,eye,765,10969729
494,224,88,40,5,5,eye,766,44513281
92,152,88,136,9,9,eye,759,34086001
80,116,8,120,1,1,eye,573,1224961
188,68,216,88,5,5,eye,764,21945505
96,450,232,128,9,9,eye,767,196156801
470,286,88,208,7,7,shi,765,2161043457
418,244,160,184,9,9,eye,766,496237441
284,488,40,16,3,3,eye,574,6344001
138,348,256,208,9,9,shi,761,3859720897
264,240,208,80,1,1,eye,767,21964801
202,334,104,192,9,9,shi,757,1575006727
116,100,56,248,3,3,shi,759,22759201
474,136,88,112,7,7,eye,569,101423361
264,164,16,112,3,3,shi,767,10946673
72,140,160,144,7,7,shi,575,228246481
150,150,16,168,9,9,dla,741,46713601.0
338,66,96,232,1,1,dla,574,16570369
104,128,80,224,1,1,shi,763,4792321
242,338,152,40,1,1,eye,766,10707841
176,236,8,256,3,3,shi,766,9001985
64,54,104,200,3,3,dla,763,11794465
80,316,216,16,1,1,shi,765,6006529
16,498,216,160,3,3,shi,763,46254241
512,174,128,88,1,1,shi,767,24900097
400,228,128,224,5,5,shi,765,1131792001
232,258,72,176,7,7,eye,571,147021301
2,358,88,248,3,3,shi,765,2258265
284,462,8,32,1,1,shi,767,1153153
202,326,56,1,1,1,shi,23,4034577
266,472,160,16,1,1,shi,765,22429441
464,468,256,24,1,1,eye,767,22778497.0
14,260,256,224,5,5,dla,762,97574401
256,386,248,104,3,3,eye,763,122630657
304,190,88,200,5,5,eye,763,116097601
266,432,200,16,1,1,eye,765,8211457
132,66,88,128,7,7,eye,767,15394105
84,326,224,152,7,7,shi,767,877766737
200,414,128,112,7,7,shi,765,990254881
38,76,56,88,9,9,eye,565,2118349
64,122,256,96,1,1,eye,763,3373057
386,56,200,136,3,3,shi,572,116335297
414,52,1,120,1,1,eye,95,2839201
226,396,80,96,7,7,dla,757,521537941
384,294,120,200,9,9,shi,767,3072944449
106,388,120,80,3,3,shi,565,89000993
346,350,40,32,9,9,eye,373,29608951
74,64,240,120,1,1,eye,766,2580481
152,150,32,184,5,5,shi,763,47931301
400,358,168,120,7,7,shi,765,2274130561
54,40,192,152,9,9,shi,764,96593041
180,454,256,120,9,9,eye,767,344558761
112,498,208,224,5,5,eye,763,246641473
432,378,208,80,3,3,shi,767,607379473
220,510,8,56,1,1,shi,766,979201
440,202,72,32,5,5,eye,766,26760961
100,156,120,248,9,9,dla,765,653990401
378,358,144,112,9,9,dla,764,2601930241
278,268,120,80,9,9,dla,764,912441601
138,360,88,248,9,9,shi,761,1288003681
414,120,56,208,1,1,shi,767,12230401
136,474,224,152,3,3,eye,763,117646801
350,6,32,96,9,9,dla,381,59949121
88,500,56,136,1,1,shi,574,8064001
452,196,80,160,7,7,shi,759,964434661
272,498,232,48,3,3,eye,763,79106305
120,456,48,248,3,3,shi,767,90908161
478,182,72,144,1,1,shi,767,20442241
118,350,48,208,3,3,shi,762,69353201
130,178,24,104,5,5,shi,717,23158513.0
150,398,168,88,1,1,eye,765,17336881
218,390,160,200,9,9,eye,757,457322581
244,166,120,72,1,1,shi,767,10876321
340,392,48,16,1,1,eye,766,2333185
452,50,184,192,5,5,eye,759,65054101
152,136,232,192,7,7,shi,763,687021001
40,332,168,80,5,5,shi,573,108983649
216,212,160,96,9,9,eye,767,111389041
454,436,40,128,5,5,eye,767,124674201
194,308,120,152,5,5,shi,757,521993473
120,336,168,184,7,7,shi,767,960422401
128,284,184,128,1,1,eye,765,15595009
132,438,216,176,7,7,shi,767,1785213541
4,454,144,232,7,7,eye,762,8854363
498,98,256,168,1,1,eye,767,35957377
46,350,120,136,3,3,eye,767,13734001
166,102,96,104,5,5,shi,601,78208909.0
496,36,88,248,1,1,eye,767,9749377
286,14,168,240,3,3,eye,766,8736001
396,268,112,160,1,1,eye,767,36791041
160,242,56,152,9,9,eye,573,50243073
362,422,256,192,9,9,eye,766,1043447329
338,392,64,144,7,7,shi,757,1131449593
178,386,192,144,9,9,shi,565,3074236399
386,208,224,160,9,9,shi,757,4217046913
484,248,112,80,9,9,shi,766,2022561025
16,88,184,168,3,3,eye,763,2158465
426,230,128,144,7,7,shi,761,1758055141
38,422,224,40,1,1,eye,765,2970881
178,432,88,72,3,3,shi,767,120748321
228,292,240,248,9,9,eye,767,583006033
222,116,224,176,3,3,shi,761,155310313.0
404,428,152,120,7,7,eye,764,434158921
334,202,48,256,3,3,shi,767,112758017
444,346,192,104,5,5,eye,767,231204121
424,144,200,144,5,5,shi,571,898439041
284,354,80,72,1,1,shi,574,17671681
306,132,16,112,9,9,dla,764,61950721
288,144,120,176,7,7,shi,767,695164033
262,314,64,232,5,5,shi,757,495582433
386,138,88,40,1,1,shi,765,5209777
176,430,168,192,5,5,eye,766,216472321
508,168,152,104,5,5,dla,765,568364401
292,328,232,248,7,7,eye,759,660375521
66,68,120,232,3,3,eye,766,6283201
66,34,88,96,3,3,eye,766,1305601
218,382,96,136,5,5,shi,565,576977767
52,456,104,112,3,3,dla,759,43174561
302,462,104,192,9,9,eye,565,477590653
436,260,168,208,5,5,shi,759,1862844881
154,282,112,48,9,9,eye,766,35216161
364,248,112,120,3,3,shi,762,179692865
346,364,112,128,7,7,dla,767,1325348953
512,302,104,120,9,9,eye,571,326140673
208,274,136,112,7,7,shi,763,726348793
354,480,216,8,1,1,shi,575,40435201
418,360,176,24,1,1,eye,767,11793601
8,90,160,176,1,1,eye,766,427681
250,452,72,232,7,7,shi,765,1462220001
332,370,80,56,9,9,shi,567,716648561
208,220,64,184,1,1,shi,766,9630721
130,352,216,16,1,1,eye,765,3221505
204,54,152,184,7,7,shi,767,236483227
166,214,192,24,5,5,eye,767,10821553
70,148,136,112,3,3,eye,573,10464637
336,206,136,56,1,1,shi,767,10197825
220,356,64,64,1,1,shi,766,5468161
380,298,208,208,5,5,shi,765,2311953137
298,492,24,192,5,5,shi,757,220803697
450,478,208,248,9,9,shi,765,13940458921.0
380,192,232,248,9,9,eye,765,639042049
290,170,248,64,3,3,dla,765,120750085.0
284,406,72,216,7,7,eye,687,340723321.0
180,432,56,120,5,5,dla,767,190641361
494,430,112,136,5,5,eye,766,288392401
208,40,200,240,9,9,eye,763,52646881
428,272,104,232,3,3,shi,766,429921025
110,226,144,160,5,5,eye,574,59880961
310,358,16,240,3,3,shi,765,56155881
270,242,96,208,5,5,shi,765,601624585
66,270,184,40,7,7,shi,574,155468161
6,10,208,232,1,1,eye,765,64961
206,12,72,184,1,1,dla,142,3020545
188,132,96,232,9,9,dla,567,903302401
32,274,120,208,5,5,eye,763,18064273
168,376,104,120,1,1,eye,767,16423681.0
226,40,160,216,7,7,shi,757,273261121
410,66,168,136,1,1,shi,765,15002065
178,160,80,40,9,9,shi,757,166209281
26,512,32,40,9,9,shi,373,25898497
212,110,248,192,7,7,dla,759,939940585
390,206,152,240,3,3,shi,765,435442801.0
236,346,216,184,7,7,eye,759,418242033
30,498,80,160,7,7,eye,765,32276377
386,148,216,96,1,1,eye,767,24380929
138,284,240,40,7,7,dla,761,269907301
428,70,24,216,9,9,shi,759,155372561
488,72,176,256,5,5,shi,763,604954081
32,36,72,56,5,5,eye,763,636769
278,64,32,16,1,1,eye,381,315393
114,266,152,184,7,7,eye,761,116292541
240,356,120,256,9,9,shi,767,3100816961
170,302,104,120,1,1,eye,765,13553761
196,456,32,232,1,1,shi,766,12607489
176,362,176,48,1,1,eye,766,10008577
382,246,152,208,5,5,shi,757,1396423921
112,460,120,8,1,1,eye,763,927361
132,282,144,192,5,5,eye,767,106442029
118,150,224,128,7,7,eye,757,63082801
216,190,168,72,9,9,eye,767,79863841.0
228,274,224,232,3,3,eye,767,174775833
322,8,56,208,7,7,shi,762,25256577
390,334,232,216,7,7,shi,765,5771716393
138,508,56,40,1,1,eye,765,3129281
284,54,48,120,1,1,eye,767,2021761
118,244,136,208,5,5,eye,762,89795905
226,156,104,144,9,9,dla,757,721435393
404,136,144,144,3,3,eye,572,72264961
16,144,88,216,7,7,eye,763,6791041
396,314,192,56,9,9,dla,767,1417933441
298,272,200,88,7,7,shi,565,1543306241
94,356,136,176,5,5,eye,760,89487721
322,216,16,144,5,5,shi,762,62686225
270,242,144,112,1,1,eye,765,24149665
436,320,80,128,3,3,eye,574,107520001
262,446,136,168,3,3,eye,767,179677345
292,288,176,80,1,1,shi,766,32845825
254,150,224,32,7,7,eye,760,30110401
180,458,112,232,1,1,shi,767,40010881
262,104,112,160,7,7,dla,767,423052785.0
274,376,224,160,3,3,shi,766,621866401
210,86,184,240,7,7,shi,717,630265105.0
72,288,168,224,9,9,eye,767,121056769
284,292,144,232,5,5,eye,759,288962617
8,150,224,88,9,9,shi,765,41997601
326,2,192,192,9,9,shi,757,29172763
194,450,248,176,5,5,eye,760,309582001.0
158,24,96,112,1,1,eye,765,946177
48,4,8,256,3,3,shi,767,41601
234,64,200,88,7,7,shi,572,284816897
504,510,24,152,7,7,shi,767,680320621
248,64,128,80,5,5,shi,763,98505601
308,322,168,56,5,5,shi,766,406919129
114,358,32,232,3,3,shi,725,44349041.0
262,320,120,88,9,9,shi,565,1522282881
54,190,216,120,5,5,shi,764,108854041
488,30,48,216,9,9,shi,763,189771001
100,118,64,216,1,1,shi,765,3322881
158,92,192,240,1,1,eye,765,11658241
186,318,224,16,1,1,shi,766,14531329
402,86,104,208,3,3,shi,761,127732017
132,146,160,72,3,3,shi,767,54979805
146,434,216,96,1,1,eye,765,27498241
366,30,72,144,3,3,eye,761,9662401
362,176,256,88,7,7,shi,757,1563237633
500,222,152,56,7,7,eye,765,130802401
472,68,240,8,3,3,eye,766,2339201
128,280,240,256,9,9,eye,763,325642241
356,82,248,168,3,3,shi,762,195466681
412,56,240,104,7,7,shi,759,529479329
74,332,184,104,1,1,shi,766,10262785
48,270,64,192,3,3,shi,767,21763081
398,410,88,152,3,3,shi,726,381889171.0
296,12,104,216,1,1,shi,718,1617409.0
274,500,96,88,1,1,eye,767,26312001
332,132,56,24,7,7,eye,759,6474997
336,110,208,48,5,5,eye,767,33374881
362,422,8,80,3,3,shi,766,16599793
108,284,112,224,1,1,shi,767,14886145
486,330,112,120,5,5,shi,764,866836081
358,468,160,48,7,7,eye,767,148852081.0
510,110,248,232,9,9,shi,765,4362941881
170,450,56,160,7,7,eye,765,82635301
18,142,168,120,5,5,dla,572,25796545
360,44,152,112,5,5,eye,767,26223121
224,292,152,112,3,3,shi,715,177419201.0
40,208,40,96,1,1,eye,573,878593
48,492,192,120,9,9,shi,767,704028385
202,494,40,176,9,9,eye,757,154521719
28,400,72,232,7,7,shi,762,144947201.0
384,434,240,112,9,9,shi,767,6264321281
236,366,16,152,7,7,shi,759,127102285
110,34,24,64,1,1,eye,382,261121
184,162,144,88,1,1,dla,766,7755265
60,118,64,184,3,3,dla,767,12299561
512,402,176,200,5,5,shi,763,3543774721
192,434,112,104,9,9,eye,767,148643265
52,400,216,56,3,3,eye,759,13852801
338,192,144,104,3,3,eye,573,60592897
382,164,88,112,9,9,dla,757,777079681
222,134,16,96,9,9,dla,569,38056129
76,4,8,248,1,1,eye,94,83329
18,296,24,40,7,7,dla,764,2705041
504,104,248,168,1,1,dla,767,45497089
266,452,112,192,7,7,shi,762,1874279473
260,402,208,208,3,3,shi,765,778005073
410,152,80,24,5,5,dla,765,46926961
316,334,136,248,9,9,shi,759,4378703929
268,146,88,32,7,7,eye,567,15416433
212,242,240,128,1,1,eye,767,28993537
44,176,120,80,9,9,eye,766,10047489
396,130,104,8,1,1,shi,575,5800081
500,480,72,136,3,3,shi,573,455328001
72,312,232,184,9,9,eye,767,145716481
38,50,1,1,1,1,shi,141,2201
174,162,184,192,1,1,eye,766,17915905
180,298,120,24,9,9,eye,767,17397241
48,240,208,160,9,9,shi,767,559938241
88,486,64,128,1,1,eye,766,5971969
180,154,184,168,7,7,shi,767,725501701
140,248,168,104,7,7,eye,765,71599585
436,232,144,104,5,5,shi,759,709480129
304,244,112,184,3,3,dla,763,222141921
402,232,248,200,7,7,shi,761,4425874209
198,194,168,40,5,5,eye,766,23131009
404,450,168,64,5,5,eye,764,164754001
406,32,232,176,5,5,eye,762,45731841.0
96,160,248,24,7,7,eye,767,9047041
406,24,48,104,5,5,shi,762,21461857
458,226,64,40,1,1,dla,766,5160961
238,504,192,56,3,3,eye,762,59222017
194,124,48,176,1,1,shi,766,3856897
268,274,144,168,1,1,eye,573,41014513
148,364,40,144,1,1,shi,573,7207201
450,26,200,168,7,7,dla,765,694401661
226,360,120,104,5,5,eye,767,82353601
450,128,120,24,9,9,eye,765,18685441
48,92,232,232,7,7,shi,767,195659713
208,440,40,128,5,5,dla,763,163302049.0
484,214,240,224,3,3,eye,766,278713601
224,166,208,160,7,7,eye,763,160746433
420,368,256,176,7,7,eye,767,758632001
238,430,232,88,1,1,eye,767,39353601
136,310,152,176,5,5,shi,763,468450301
264,358,176,80,1,1,dla,767,24161281.0
128,224,240,232,7,7,shi,763,1315500033
62,236,168,48,3,3,dla,740,17532257.0
332,218,224,160,5,5,shi,759,1196592409
500,198,232,168,5,5,eye,765,328006801
224,4,88,24,1,1,shi,575,86945
496,24,40,120,7,7,eye,763,9941329
446,388,176,8,3,3,eye,763,9516865.0
492,480,184,80,7,7,eye,767,382520161
318,68,168,232,5,5,shi,761,355109329
98,382,248,56,5,5,shi,762,228621653
122,222,32,240,3,3,dla,759,32758321
40,144,104,240,5,5,eye,753,13879297.0
186,486,216,88,3,3,shi,761,350374897
124,82,24,48,1,1,dla,764,322561
308,406,80,216,9,9,shi,766,2917483521
64,208,72,48,9,9,eye,763,5399681.0
64,80,120,224,3,3,shi,763,21852161
384,312,72,208,3,3,eye,767,150179329
26,306,240,240,7,7,eye,757,53559793
254,186,32,200,5,5,shi,757,132850129
474,404,256,80,3,3,eye,761,182559521.0
300,202,56,48,1,1,shi,575,3676401
94,130,40,160,3,3,eye,575,6008081
160,428,224,80,7,7,dla,765,887130945.0
76,512,80,224,7,7,dla,759,483056609
188,386,168,120,9,9,eye,759,229949851
390,134,152,88,5,5,eye,765,66898027
336,408,216,176,9,9,shi,767,6929798401.0
372,364,216,112,7,7,eye,767,425361665
378,10,176,208,5,5,eye,764,11675161
88,96,176,240,7,7,eye,766,42301441
488,10,216,256,3,3,shi,763,37771201.0
214,408,256,112,9,9,eye,757,341564545
22,292,120,232,3,3,dla,766,27140001
322,50,256,184,5,5,shi,762,304641901
370,344,64,256,3,3,shi,765,285158113
456,172,224,32,9,9,eye,683,76314337.0
160,368,240,160,7,7,eye,765,254408705
486,186,80,176,7,7,eye,764,221972401
322,384,80,104,7,7,eye,762,170139649
368,140,64,112,1,1,eye,767,6319041
450,92,256,24,1,1,eye,766,4345345
2,60,72,144,7,7,shi,568,1166041
352,6,104,112,9,9,eye,766,4110337
294,202,72,208,3,3,eye,762,74930689
218,238,192,8,3,3,eye,766,2856001
110,102,40,112,5,5,shi,766,20212321
240,156,40,216,3,3,eye,575,24485761
436,350,208,32,5,5,eye,759,92475601
170,430,136,112,1,1,dla,765,19938689
378,204,152,24,7,7,eye,632,34083505.0
262,124,120,232,1,1,shi,767,17022721.0
66,72,184,152,5,5,shi,766,64198657
342,496,72,96,1,1,shi,575,26926849
376,34,120,256,1,1,eye,767,7241729
296,122,136,240,9,9,eye,763,152338473
336,182,16,208,5,5,shi,767,73443553
142,194,224,112,3,3,shi,766,111230289
20,144,32,152,9,9,shi,573,16798753
94,370,248,248,9,9,eye,757,306133561
476,212,216,32,5,5,eye,762,60893185
36,38,192,40,5,5,eye,767,823537
196,376,64,24,1,1,shi,574,5197825
256,274,256,64,1,1,shi,767,20061185
2,190,144,72,1,1,eye,767,123121
130,16,104,8,1,1,dla,189,118977
460,214,136,72,1,1,eye,766,23296897
290,148,152,128,3,3,eye,765,49212073
386,140,256,248,5,5,shi,764,1366564081
216,102,56,16,5,5,eye,767,1657909
220,188,160,256,7,7,eye,766,219283201
390,102,72,152,7,7,shi,765,386064901
230,12,56,256,9,9,eye,765,6267409
418,110,160,8,7,7,dla,766,12640321
362,312,144,176,7,7,shi,757,2294570305
70,388,152,120,9,9,shi,765,633675393
412,366,224,40,5,5,shi,567,831014713
390,94,40,56,9,9,eye,765,17838757
380,298,208,168,5,5,shi,765,1733964853
10,310,232,152,7,7,eye,765,12785641
182,60,144,152,9,9,shi,762,360959041
82,344,136,200,3,3,eye,575,51969457
402,450,184,16,7,7,eye,761,53365501
248,224,152,224,1,1,eye,767,41094145
404,42,40,120,3,3,dla,572,16545961
78,26,216,248,9,9,eye,761,17777449.0
40,480,144,200,7,7,shi,765,519475201
178,422,104,232,1,1,eye,767,38182561
272,218,104,80,9,9,shi,763,922334457
492,112,120,96,9,9,dla,767,786370817
108,494,192,80,7,7,shi,767,972740341
494,296,40,256,1,1,eye,766,40919041
468,22,16,256,1,1,eye,383,2855425
196,346,240,256,3,3,shi,762,584147649
136,500,1,120,1,1,eye,91,9180001
274,318,8,136,1,1,shi,767,2281969
58,324,64,232,1,1,eye,767,4885921
230,214,192,224,3,3,eye,765,99434245
504,490,80,24,5,5,eye,575,49556641
450,2,200,40,9,9,eye,765,875881
262,212,208,1,1,1,eye,767,242529
4,316,216,136,7,7,eye,759,4731153
430,90,216,104,7,7,dla,765,869011081
100,458,136,176,1,1,shi,765,20555041
