M,N,GEMM_K,df,ConfigID,rewards
166,16756,3564,eye,767,72515521.0
176,26496,28188,shi,574,2738871361.0
360,576,432,eye,143,12130561.0
92,6532,3528,dla,759,38911125.0
60,16068,3114,eye,575,26022661.0
26,18800,11350,eye,757,22876153.0
74,3840,20,eye,766,107521.0
184,7140,558,eye,763,7078665.0
474,1584,6850,shi,569,117083215.0
228,5632,40338,eye,767,110478313.0
200,32004,2322,shi,765,234924481.0
26,19712,3726,dla,565,41769729.0
338,55632,8800,eye,765,552730113.0
218,55440,1100,shi,757,211868097.0
34,128,112,dla,767,9985.0
452,13392,11050,shi,759,1241158101.0
312,34560,1458,eye,767,32786209.0
50,28800,154,shi,765,4065601.0
138,340,10094,shi,569,13939197.0
272,5952,460,shi,383,34109921.0
434,21060,4704,shi,642,796538305.0
292,1344,478,shi,766,3716929.0
474,5824,250,eye,767,13520001.0
134,25344,24300,shi,565,1720479601.0
416,7888,7500,eye,763,87796801.0
410,12400,3350,eye,765,68949701.0
490,29952,19278,eye,765,605304449.0
116,8036,5684,eye,759,15904993.0
486,12672,108,dla,767,13508353.0
272,31920,100,shi,571,18623569.0
274,43316,864,eye,766,58560001.0
386,80,412,shi,381,14139841.0
456,1188,14308,eye,575,39213265.0
200,8192,28026,eye,765,89793921.0
400,30900,900,eye,765,72800001.0
482,8580,306,dla,766,37752001.0
466,55552,6318,dla,767,4216063489.0
64,1156,16366,eye,763,5250481.0
266,41664,15228,eye,762,308392193.0
228,43200,31104,shi,767,6127939585.0
356,24128,31266,eye,759,580582601.0
506,292,1764,dla,574,7253281.0
472,3840,472,shi,742,15587329.0
214,5412,13426,shi,565,379844009.0
164,5120,124,eye,382,3571201.0
442,19380,8820,shi,757,1335295261.0
282,40660,3510,eye,761,217760401.0
226,31540,342,shi,767,38953345.0
88,16,346,eye,286,531457.0
100,9776,6600,eye,765,21867121.0
74,12288,234,eye,766,3773953.0
296,32336,8600,eye,763,268624441.0
16,3924,18032,eye,763,3470977.0
374,948,4248,eye,766,9628801.0
390,4144,4100,eye,765,28897129.0
42,88,294,dla,762,21121.0
508,4096,14580,dla,759,507187201.0
226,2048,5184,dla,757,37722113.0
154,52644,1998,shi,766,303788353.0
60,14784,466,shi,767,7996561.0
390,152,492,shi,765,633205.0
370,10608,11350,dla,765,788131969.0
412,17280,30294,eye,759,400628801.0
244,23184,1350,shi,759,121469545.0
160,10660,6272,shi,573,246939649.0
280,20608,11988,shi,765,1127992657.0
400,5780,23520,eye,765,141408001.0
68,3876,13132,eye,567,15258045.0
456,72,218,eye,767,215385.0
92,9108,17150,shi,759,312645901.0
326,960,418,eye,142,18057601.0
342,27572,3626,dla,764,926198625.0
378,5328,7750,dla,764,252866881.0
344,26228,1836,shi,691,316002529.0
60,8960,372,shi,767,5416321.0
304,6336,264,dla,766,10644481.0
278,19840,32076,eye,764,501842881.0
206,15252,4248,shi,764,218987233.0
308,14336,260,eye,766,19568641.0
132,23808,25596,shi,767,1676015969.0
178,25652,392,shi,757,29630593.0
380,13616,2000,dla,765,259738817.0
146,22500,10486,shi,757,551956505.0
454,3584,27864,eye,762,101603841.0
168,6724,23422,eye,767,94598113.0
366,9600,484,eye,575,46812481.0
448,21504,92,dla,766,21159937.0
302,39508,3870,eye,763,267191681.0
208,7812,21756,shi,763,570389041.0
462,3072,39528,shi,574,1753371313.0
126,4644,522,shi,572,7132609.0
30,6720,16848,dla,765,65399041.0
504,49140,24696,eye,767,1496154241.0
384,9856,282,eye,767,20646913.0
350,11124,1278,shi,765,92486731.0
90,25920,21222,eye,765,107090929.0
62,23652,18522,shi,757,558948601.0
128,49220,1764,shi,763,208694529.0
162,14308,1470,eye,764,10024561.0
434,32292,12250,eye,762,426560001.0
210,24180,23912,shi,765,1958976937.0
162,5936,12050,eye,764,47058625.0
214,9216,28188,eye,757,145667233.0
500,5780,24598,eye,573,308102501.0
68,51060,1836,eye,759,39521329.0
462,19812,2628,eye,574,208488001.0
214,33712,250,shi,757,31586401.0
416,16116,720,eye,763,30975361.0
420,25844,2664,eye,767,162610561.0
334,1536,346,eye,191,12090625.0
186,14080,72,eye,766,3525121.0
324,14852,3384,shi,767,310163905.0
322,9984,27054,dla,762,1565171713.0
64,10368,28026,eye,763,57485825.0
272,24948,13916,eye,763,273226177.0
48,9216,41310,shi,767,380761921.0
328,19712,286,shi,766,36241921.0
462,2688,24300,eye,766,67435201.0
448,12720,8950,eye,763,193423105.0
430,3888,4900,eye,573,46539417.0
272,9620,980,shi,763,59198761.0
160,15488,33534,eye,765,161161921.0
244,16116,4176,dla,762,288798721.0
70,216,50,eye,189,831601.0
218,23940,11760,eye,757,155390401.0
106,2160,3200,eye,757,3113857.0
90,20496,1000,eye,765,8855281.0
116,31104,42,shi,575,3538081.0
122,13200,11400,shi,565,418908961.0
442,11264,214,eye,767,19763329.0
310,13716,2790,eye,765,74333351.0
162,14160,5600,dla,764,230411521.0
488,18432,12312,eye,763,198578425.0
478,4900,1494,shi,767,100715521.0
86,27648,278,eye,766,15372289.0
50,16128,22194,shi,573,372911261.0
92,1540,9016,eye,759,5002225.0
384,13072,6200,shi,767,543203329.0
22,32336,8900,eye,766,20633761.0
406,19600,2400,eye,762,78397441.0
12,39188,12642,shi,767,117751201.0
286,25344,240,eye,766,32348161.0
454,6804,3186,dla,767,169093009.0
338,38416,950,shi,757,252769921.0
354,27984,800,eye,761,30789505.0
260,20532,3726,shi,765,344232721.0
254,2560,124,eye,573,2269697.0
192,17556,1078,shi,767,70803745.0
224,39424,32724,eye,763,550611601.0
204,23104,292,eye,767,29426593.0
236,12800,330,eye,575,27456001.0
50,25792,5184,eye,765,14533121.0
148,25600,33696,shi,759,1995511233.0
380,6372,342,shi,765,14087665.0
386,8832,8910,dla,764,554472961.0
220,13588,4374,shi,766,249113881.0
456,3492,17836,shi,767,585757537.0
254,33744,7100,shi,757,1071940961.0
178,41412,3780,shi,767,487317601.0
282,20916,936,dla,761,108135721.0
158,26448,1900,shi,757,137443569.0
90,6080,494,shi,765,7433713.0
60,16048,11900,shi,767,194341281.0
20,8640,32,shi,573,152065.0
226,21824,398,shi,767,34603713.0
248,22736,1800,dla,763,283336033.0
102,13312,36936,eye,761,113256721.0
314,20500,17346,shi,757,1789166977.0
78,20160,28,dla,765,1774081.0
8,15620,540,eye,767,420481.0
220,23760,7400,shi,766,716840961.0
48,120,156,eye,47,973441.0
378,34500,12054,eye,764,493208353.0
168,30912,310,shi,767,28435681.0
490,64,4,eye,191,136449.0
258,11076,3456,eye,761,87183361.0
316,30800,350,eye,759,12511073.0
252,176,356,shi,23,17105089.0
30,12096,37422,shi,765,377266429.0
160,39680,276,eye,765,31088641.0
58,1536,20,shi,767,41601.0
494,2112,502,eye,766,13011841.0
200,30576,4650,dla,765,460474561.0
52,18480,2650,shi,567,57991753.0
44,50112,50,shi,766,2073601.0
252,50500,24598,eye,767,894130273.0
210,1460,24500,shi,765,154413001.0
94,10032,5200,shi,565,111915649.0
246,35280,6950,eye,761,263327995.0
236,8500,2156,eye,759,12273889.0
118,14336,236,eye,767,6872321.0
244,3456,92,shi,287,5425057.0
420,3456,33210,eye,767,111700401.0
240,14964,720,shi,767,44721601.0
420,18432,14,shi,767,1834561.0
310,960,162,shi,767,876097.0
118,41472,340,dla,767,32348161.0
216,1332,4374,shi,767,22744801.0
20,21844,810,shi,765,8260201.0
416,21760,230,eye,767,42697201.0
118,6612,396,shi,762,5401309.0
46,11088,4800,eye,757,11486017.0
158,17712,7800,eye,765,82697473.0
342,12740,288,dla,764,39697841.0
264,22692,10388,shi,767,1003981969.0
262,21168,2200,shi,757,250019265.0
448,9360,6200,eye,763,100493569.0
242,512,470,shi,766,1985281.0
316,32660,1296,eye,766,80179201.0
418,3456,370,shi,767,10774401.0
442,32340,5880,shi,757,1603293121.0
472,2688,314,shi,766,7777153.0
344,3556,2160,shi,763,41816641.0
90,39188,15974,shi,765,1115952769.0
430,10836,2952,eye,765,107810977.0
158,2100,14798,dla,757,82120501.0
34,30256,4800,shi,757,81273601.0
228,28224,302,eye,767,37595377.0
214,30900,540,eye,767,23544001.0
94,11700,3114,dla,767,61214401.0
480,8208,3750,eye,767,57792001.0
236,37120,29160,eye,759,497016001.0
194,22100,13818,shi,757,1047029059.0
274,3072,446,eye,767,17069313.0
114,27556,1080,shi,761,61696801.0
48,61504,26082,eye,767,140361089.0
346,15792,400,shi,565,52248769.0
286,49220,162,eye,766,13478401.0
60,1280,13446,eye,767,4037951.0
104,32336,7300,dla,763,422469841.0
372,8448,15714,dla,767,1019268097.0
56,2496,27864,dla,763,68035969.0
116,26896,5650,shi,759,323105647.0
258,16000,416,shi,767,38072321.0
428,2048,16200,shi,375,443921601.0
406,11172,19110,eye,762,264563521.0
300,3344,7850,eye,767,42531301.0
298,1748,108,shi,575,1495201.0
314,2660,2322,shi,764,51416821.0
106,46400,12636,eye,757,140159137.0
496,7280,10500,eye,763,146553121.0
512,38352,1000,eye,763,63290881.0
174,21120,396,eye,574,36495361.0
380,30420,4018,eye,765,116276657.0
60,17780,3942,eye,767,22916161.0
246,21620,504,shi,761,46911873.0
318,24500,24206,eye,761,432526641.0
308,12800,300,shi,766,20160001.0
188,12740,3528,shi,759,140611969.0
216,19136,14,shi,767,1205569.0
106,24272,12200,eye,757,118715761.0
270,20160,368,eye,765,36723457.0
270,9408,46,eye,765,2295217.0
246,14336,22842,eye,761,180182209.0
104,18900,24206,eye,763,131239993.0
446,3312,2600,eye,571,22241857.0
36,1792,20,shi,191,174721.0
102,11988,19600,shi,569,648067201.0
202,51408,2750,shi,757,562210441.0
232,3332,3978,eye,763,18714281.0
504,25220,4802,shi,575,1408906801.0
112,5376,172,shi,763,2080513.0
398,14916,1764,eye,762,28235521.0
450,9828,17542,shi,765,1326561841.0
124,10500,23912,shi,759,623122321.0
208,36848,9800,eye,763,245831041.0
386,4144,10400,shi,764,338405185.0
512,18096,2750,shi,763,490490881.0
184,32208,4550,shi,571,613445743.0
124,224,146,shi,764,81761.0
326,26180,4606,shi,757,694730125.0
318,13072,11050,eye,761,169791649.0
250,216,14,eye,767,15289.0
288,14976,266,shi,767,34524673.0
382,49284,18,dla,767,171902593.0
230,51840,648,eye,765,14325505.0
120,8208,3300,shi,767,60234241.0
104,15872,19278,shi,763,497304809.0
348,8084,972,eye,767,21848833.0
486,11520,3078,shi,764,478764433.0
116,13824,170,shi,575,8486401.0
22,13524,17542,eye,766,15465601.0
154,6912,316,eye,574,7644673.0
168,10580,2502,shi,767,77590913.0
456,17136,850,eye,743,26444657.0
48,4096,346,shi,767,1151489.0
108,17920,118,eye,767,4417921.0
42,1280,22842,shi,378,38383021.0
112,768,124,dla,763,193537.0
110,200,364,shi,766,174721.0
94,6912,27702,eye,565,41920993.0
274,36480,208,eye,767,37812737.0
14,28800,318,eye,762,3052801.0
340,46080,2754,eye,765,75938797.0
490,14400,120,shi,767,18420481.0
350,12740,234,dla,765,40576901.0
398,17956,2196,eye,573,119901601.0
274,4752,10200,shi,565,303179905.0
284,24,418,shi,575,130417.0
316,5780,17052,eye,759,135398101.0
464,38400,13122,shi,763,3653813125.0
218,31188,18914,shi,565,2799730183.0
458,896,102,eye,190,5757697.0
180,6144,172,eye,767,3219841.0
184,13312,78,eye,766,4073473.0
208,1476,13916,eye,763,17411473.0
280,17716,4482,shi,765,433323745.0
286,1088,26,shi,574,194689.0
402,42180,1134,eye,761,103076821.0
398,5712,10500,shi,570,704649961.0
100,29184,500,shi,765,31680001.0
470,10640,1100,shi,765,117975265.0
452,21172,1422,shi,759,260793379.0
452,25200,700,dla,567,287607601.0
280,28560,11050,shi,765,1895050249.0
90,14916,20286,eye,765,120744757.0
468,6480,1850,dla,767,152137441.0
50,13284,1368,shi,765,16888721.0
432,19620,8526,eye,767,191853793.0
82,27300,3060,shi,757,115005001.0
2,62484,4014,eye,761,2779473.0
190,40832,234,eye,767,34265089.0
252,24308,2844,dla,767,278205061.0
52,49392,12600,shi,759,514725121.0
396,42164,306,dla,575,151663909.0
288,23108,7742,dla,767,979964065.0
268,36500,24010,shi,759,3760610841.0
506,30420,5292,eye,766,273637441.0
22,40788,4302,eye,766,26385601.0
364,37636,19698,shi,702,5566317121.0
14,21060,2352,shi,762,11859073.0
22,31892,612,shi,574,9645937.0
248,11700,22932,shi,763,1331283097.0
106,25668,22736,eye,757,146076481.0
246,5476,17542,dla,761,397393321.0
132,17712,550,eye,767,4807573.0
356,36084,19110,shi,759,5065299721.0
14,48144,11100,shi,702,126952033.0
272,15872,34830,dla,763,2451620865.0
326,2688,472,eye,766,8156161.0
322,21300,2520,shi,618,367080001.0
194,12288,336,eye,766,13934593.0
468,30576,1900,eye,587,114196993.0
26,43008,162,eye,764,3732481.0
70,5632,342,eye,765,2528065.0
132,5460,9016,eye,767,21458449.0
156,14896,11700,eye,575,146502721.0
248,1188,1242,shi,763,6810577.0
408,272,11900,dla,767,22269185.0
444,19504,850,shi,767,138978809.0
434,8436,738,shi,762,48948753.0
242,30192,3350,shi,766,496511005.0
376,9792,25758,eye,763,310398529.0
150,27604,4446,eye,765,121375801.0
62,6720,366,shi,764,3074401.0
364,25024,96,shi,767,21355777.0
434,16896,6642,shi,762,761166313.0
294,55296,88,dla,574,35831809.0
374,6400,27054,eye,766,162072833.0
126,12288,482,eye,764,12956161.0
260,3840,462,shi,765,9513505.0
442,36816,8700,shi,757,2733617953.0
382,25872,9500,eye,767,439219201.0
260,8036,22148,shi,765,1128991137.0
266,23540,666,eye,762,26635265.0
508,18816,158,shi,767,29676193.0
332,8436,20580,dla,759,965559253.0
324,14144,462,shi,767,44108065.0
168,3584,1782,dla,287,48821249.0
510,2484,6762,eye,765,31100923.0
220,33040,11900,eye,766,378362881.0
388,21476,1602,eye,765,75806641.0
270,32980,4018,shi,765,631574497.0
30,308,4392,dla,765,672673.0
484,30020,3474,eye,766,326092801.0
460,96,28,shi,286,1354753.0
14,34932,1404,shi,762,11224513.0
226,1792,92,eye,767,727169.0
412,31828,1470,eye,759,51133321.0
458,30912,15066,eye,764,436261141.0
146,14416,4500,shi,757,179439841.0
486,2020,23912,eye,764,93180673.0
292,19504,8250,shi,759,888342841.0
386,16932,432,eye,764,17263297.0
126,21156,3060,shi,764,133184801.0
208,33040,7000,shi,763,816175361.0
74,5040,4850,dla,757,38041921.0
366,8960,48,shi,767,3095041.0
494,13668,4014,shi,574,610047721.0
356,5120,1296,eye,759,5553601.0
26,9600,2106,eye,757,1322257.0
336,4964,11956,shi,767,409858513.0
210,35712,16200,shi,573,2531440801.0
182,16724,16464,shi,762,887332993.0
192,31248,7450,eye,755,143516801.0
40,5376,14094,shi,573,63150169.0
304,11252,1666,dla,571,168037369.0
144,15360,344,eye,767,12879361.0
14,9216,31266,eye,570,13154881.0
4,10640,5650,dla,759,4298561.0
396,26640,5550,shi,767,976482541.0
216,29568,312,shi,767,38548225.0
418,12800,13932,eye,766,157413025.0
92,61488,9050,eye,759,171548905.0
270,13268,2934,shi,765,197200009.0
316,1152,258,eye,286,4309633.0
142,23652,1666,dla,766,166037041.0
162,18480,2500,shi,764,178358401.0
230,31616,84,shi,766,13208833.0
40,7956,1872,shi,573,15332097.0
416,7168,8910,dla,763,483811329.0
188,19844,5586,dla,759,367471193.0
466,10164,17346,shi,757,1359963217.0
282,23936,272,eye,767,34624513.0
288,14288,550,eye,767,7628545.0
138,23088,3850,dla,761,240553873.0
90,3456,4,eye,765,85537.0
88,47616,88,shi,766,6488065.0
396,19968,8424,dla,767,1282305025.0
350,8228,16856,shi,765,802586401.0
394,16192,11826,shi,757,1230956077.0
134,35844,2466,shi,740,232658881.0
316,29696,15066,eye,759,286533001.0
266,3492,9506,eye,762,30431617.0
382,23184,6750,shi,757,952807321.0
60,13348,3204,shi,767,54382561.0
312,17200,1300,eye,767,24417121.0
176,11520,29322,eye,574,165326849.0
426,21808,5900,shi,761,875869633.0
84,6144,176,shi,767,2050049.0
88,4260,1800,shi,574,14304001.0
300,23040,2268,shi,767,244973401.0
280,17664,98,shi,765,8692993.0
502,59520,36936,shi,757,17812558369.0
150,10560,304,shi,765,8828161.0
320,3456,324,shi,287,24564385.0
436,28560,2450,dla,759,628834081.0
62,11700,4050,shi,757,59845501.0
432,4500,24304,dla,767,763344001.0
320,10240,29484,eye,765,226716673.0
144,6052,11074,eye,767,23960521.0
486,35840,30618,eye,764,1072854721.0
510,13860,8232,shi,765,1108699201.0
6,41600,298,eye,761,1735553.0
354,7680,500,shi,767,31200001.0
150,9216,418,shi,573,13242241.0
246,4480,8,dla,575,1223041.0
316,39680,35478,shi,759,7177562065.0
138,25536,35316,shi,761,2456870029.0
290,14980,2898,shi,765,236214049.0
144,25252,2124,dla,767,132118465.0
276,7632,3250,eye,767,28799681.0
96,3952,4800,eye,767,10171393.0
322,4420,7154,shi,762,235066717.0
352,1792,58,shi,766,1247233.0
34,2304,286,eye,575,535393.0
512,3264,13770,eye,763,63550081.0
504,10164,19894,eye,767,301308841.0
2,2496,8910,shi,766,856021.0
124,30660,14798,eye,759,154922377.0
88,3588,3294,shi,574,26761921.0
218,25872,2500,eye,766,59616001.0
42,1664,352,eye,190,3514369.0
130,25,19698,eye,573,92191867.0
332,34944,37908,eye,759,908949601.0
218,20196,1512,eye,766,45696001.0
316,39744,6804,dla,759,2040854401.0
262,39680,16,dla,383,11348481.0
194,6580,306,dla,570,11791361.0
54,8448,12150,eye,764,13140001.0
110,51968,32076,eye,766,353232001.0
310,5376,7938,shi,765,236271337.0
174,16000,54,shi,766,3317761.0
114,7296,230,shi,764,4544801.0
260,1904,3150,shi,765,45903313.0
138,37120,40014,shi,761,3844150909.0
292,2352,4800,dla,759,52023889.0
216,49920,18630,shi,767,3348432001.0
76,15300,19698,dla,759,400875301.0
24,48500,22344,eye,767,60162817.0
118,29568,28,shi,767,1921921.0
442,10192,6300,eye,767,123487057.0
78,59520,27702,shi,761,2143967905.0
2,8900,9114,eye,762,441937.0
434,21648,3850,shi,762,823028053.0
448,29328,9000,shi,763,1888911361.0
56,12212,3600,eye,763,19622401.0
400,11556,3456,eye,765,100638721.0
28,6864,4000,shi,654,14801281.0
382,18468,98,dla,47,348084865.0
468,15972,22834,eye,767,428179441.0
300,38064,6050,eye,767,267694351.0
156,24852,4606,shi,767,327735513.0
400,16756,4464,eye,765,173322241.0
118,5684,13818,eye,757,29648917.0
236,6144,500,shi,767,16640001.0
268,44800,3726,eye,759,92151801.0
182,4096,6318,eye,762,9215233.0
370,10368,9396,eye,573,83539489.0
152,1140,1998,eye,763,1847485.0
64,34932,576,shi,763,21037057.0
304,6912,140,eye,382,10160641.0
146,38400,4536,eye,757,45977737.0
460,22320,3400,shi,765,582277201.0
346,9620,19110,eye,575,253140421.0
292,152,326,shi,766,316873.0
98,26180,19208,shi,762,870023617.0
166,9840,3600,shi,757,107998273.0
160,24128,13122,dla,765,939254785.0
354,1152,74,dla,767,898561.0
78,1620,4410,shi,761,10383101.0
192,31284,2538,eye,659,104263297.0
58,18304,236,shi,575,6381441.0
254,40000,178,shi,765,40726401.0
412,13780,23324,shi,759,2500329945.0
240,17328,4350,shi,767,317598721.0
206,11520,412,shi,742,18035713.0
460,40592,6800,eye,765,439671681.0
56,9828,4374,shi,763,62011657.0
16,2916,4356,shi,763,3781009.0
96,7424,86,shi,767,1144833.0
464,19028,2322,shi,571,461130625.0
38,61504,112,eye,765,4888577.0
70,10240,13932,eye,765,23434657.0
116,6000,10650,eye,759,29946097.0
406,6272,150,eye,767,7425601.0
226,19716,1274,shi,757,107266381.0
480,20304,12400,eye,767,394141441.0
422,23460,4802,shi,757,840188497.0
130,8692,5586,shi,765,153997585.0
194,6144,310,eye,766,6428161.0
258,24192,14,shi,767,1793793.0
152,40832,14256,dla,763,1510498177.0
262,37908,9016,shi,757,1660717393.0
378,34036,2376,eye,764,163658881.0
444,44928,20412,eye,767,870936193.0
316,19152,10800,eye,567,351586657.0
214,24192,40824,shi,757,3916682785.0
474,5332,2250,dla,761,92670161.0
396,4352,134,shi,383,7818097.0
326,10500,20776,eye,763,218621185.0
104,23700,2142,eye,763,35912059.0
316,2516,24598,shi,567,528958405.0
18,756,576,dla,764,123985.0
438,40548,10584,eye,761,502368481.0
486,48708,1098,shi,764,424372609.0
124,25984,420,shi,764,27283201.0
498,23876,4068,shi,761,766526913.0
496,40592,9900,shi,763,3480098689.0
208,19440,2750,shi,763,206125921.0
62,53568,278,eye,764,19304321.0
104,9348,20776,shi,763,354487745.0
12,4608,8424,shi,767,7279169.0
42,11520,40338,shi,762,488024065.0
210,6468,4410,eye,765,18559801.0
96,11856,10650,shi,575,319206913.0
246,5616,10600,eye,761,57749649.0
274,5300,8918,shi,757,244752145.0
466,1284,4248,dla,767,43666273.0
254,660,3222,dla,763,9250561.0
438,1536,230,eye,286,21196801.0
384,1524,4392,eye,767,13617153.0
86,12096,358,dla,766,6967297.0
502,19536,7750,eye,767,317440621.0
434,25024,20412,shi,570,4891046329.0
264,8000,444,eye,767,25396801.0
230,1152,196,eye,766,1580545.0
224,21824,276,dla,767,26952641.0
118,33812,3582,shi,762,270829449.0
46,26228,396,eye,767,3050257.0
288,14848,402,shi,767,32108545.0
288,3780,864,shi,575,26956801.0
102,5760,458,dla,767,5391361.0
294,42180,4500,shi,762,1010856001.0
142,51076,4998,eye,766,94517281.0
70,3492,18326,shi,765,92394457.0
422,15872,5832,eye,764,79050241.0
120,5940,3240,eye,767,14518801.0
238,32768,150,shi,767,19968001.0
266,292,12348,dla,762,15268097.0
438,29584,2900,shi,761,656312341.0
22,27200,6156,eye,766,9355297.0
208,12544,110,shi,766,5617921.0
188,1408,298,eye,767,1487617.0
14,9792,11502,shi,570,34788865.0
168,16500,17836,shi,575,1498590913.0
324,20416,7452,dla,575,1072697473.0
432,11520,314,eye,767,28214785.0
390,2240,428,shi,767,7344481.0
12,12580,7056,eye,575,4240801.0
448,18240,23328,shi,763,3763017217.0
172,17168,8600,dla,759,447363745.0
80,17220,16268,shi,765,426999809.0
314,14976,1620,dla,572,382636801.0
86,47380,4122,shi,757,297536953.0
104,28672,26568,eye,763,166040161.0
240,33408,2916,shi,575,487144801.0
84,4884,10486,eye,767,17646441.0
92,11700,504,dla,759,9956701.0
470,40832,17334,shi,765,5736278561.0
4,38272,316,eye,764,1162881.0
162,38272,18630,eye,764,253864801.0
30,29760,320,shi,765,5237761.0
366,3584,484,shi,383,21845825.0
66,32384,384,eye,766,14598145.0
46,8820,19208,dla,757,140581981.0
76,14336,294,eye,766,5531905.0
130,33060,3096,eye,765,70809649.0
84,2176,972,eye,575,490393.0
140,34048,264,dla,765,26216961.0
366,39424,13446,eye,761,369852151.0
334,4864,13122,shi,757,421068457.0
308,16132,7546,eye,766,102453121.0
472,22704,9750,shi,763,2377048051.0
62,8704,8424,dla,757,87962625.0
158,21780,8036,shi,757,457761393.0
18,2304,64,eye,764,61441.0
132,27604,1800,eye,575,49638601.0
392,13440,40824,shi,571,5377949137.0
76,47616,416,shi,766,25998337.0
396,14400,34020,shi,575,5389405561.0
248,5952,86,eye,383,5822545.0
344,1680,2200,eye,571,6084673.0
4,45632,64,shi,761,238081.0
70,14848,148,eye,765,2917377.0
116,7668,4608,shi,759,87395329.0
22,31376,6400,shi,766,89614849.0
324,33600,30294,shi,767,5889850363.0
448,7632,11650,eye,763,225547729.0
450,26752,36612,shi,765,8700231601.0
298,4480,33534,shi,757,800067421.0
330,20868,720,dla,574,125208001.0
68,49220,846,dla,759,61918761.0
48,21780,13034,eye,767,32588193.0
60,4096,35316,dla,767,139489281.0
302,13824,1458,shi,757,126900703.0
40,49776,8350,shi,765,326245857.0
38,6032,7200,eye,757,6697729.0
374,25520,8250,shi,706,1432749121.0
154,44036,2450,shi,766,329095201.0
266,18816,176,dla,765,16765057.0
450,41664,38718,eye,765,1465347241.0
224,10452,1278,eye,763,26122321.0
378,15860,3724,shi,572,515380321.0
152,8704,476,dla,766,11698177.0
242,58548,648,eye,766,50688001.0
330,3072,1134,eye,382,4121041.0
470,15860,2940,eye,765,74769481.0
264,16320,332,shi,767,25826945.0
186,16000,326,eye,766,26601601.0
382,13776,8350,shi,565,1050432005.0
500,11600,10200,eye,765,204816001.0
302,35840,168,dla,766,36126721.0
276,17136,7150,shi,767,663509705.0
232,20160,22194,eye,763,216592069.0
178,16644,4900,eye,757,44936101.0
26,18432,482,eye,764,4164481.0
120,52884,12642,dla,659,1557433801.0
196,3584,28674,shi,762,359765953.0
24,38976,210,dla,767,4053505.0
386,25024,37422,eye,764,913637341.0
72,19968,446,eye,767,14471809.0
432,14500,16170,eye,767,251903521.0
258,43524,4998,shi,761,959849785.0
140,1972,15190,eye,765,19178461.0
382,11988,10388,eye,731,131860609.0
470,13312,292,shi,766,38572033.0
284,6512,550,eye,759,4259575.0
140,15232,22,eye,765,1138369.0
194,8784,12100,dla,760,345316609.0
322,1792,13284,eye,762,17139969.0
106,45780,7546,eye,757,103428865.0
202,14976,28512,shi,757,2397626881.0
192,28500,288,eye,767,8371201.0
54,30400,132,shi,766,4815361.0
146,1972,16366,eye,762,21715345.0
36,7680,148,eye,575,923521.0
210,39744,26244,eye,765,463515697.0
208,208,492,shi,766,448705.0
176,468,594,eye,766,422401.0
228,35280,6350,shi,755,811308513.0
322,10752,34992,eye,702,270895105.0
86,5824,322,shi,766,3214849.0
44,8704,17658,eye,574,18667777.0
444,28080,850,shi,767,176743969.0
78,11648,234,shi,765,4612609.0
128,22080,28674,shi,763,1321535809.0
432,9936,2600,eye,767,42823873.0
432,10692,8232,eye,767,170989057.0
380,3636,8526,shi,765,233350705.0
454,512,9234,shi,373,67127533.0
156,23936,504,shi,767,34751809.0
104,22932,24206,eye,763,171621529.0
6,21060,18914,shi,761,55181017.0
132,36848,3300,eye,767,52446241.0
330,26624,10530,eye,766,166982401.0
192,4692,11760,shi,767,230365441.0
126,26980,4158,dla,764,247784321.0
60,24080,9850,shi,575,305162851.0
286,17908,2058,eye,766,25945921.0
292,3072,150,shi,574,4665601.0
356,1280,33210,shi,759,378474281.0
476,29264,12450,eye,762,596006401.0
306,31284,2952,eye,764,181063873.0
40,39312,11650,dla,765,315753985.0
480,23760,650,shi,767,123636241.0
328,10660,16170,eye,571,202057021.0
304,20500,3234,eye,763,47310913.0
264,17472,344,shi,767,30695809.0
208,14400,7290,shi,571,606635641.0
100,720,11300,eye,765,4538081.0
158,37120,33858,eye,757,387546193.0
170,14896,9700,shi,765,501718145.0
254,39188,24108,eye,760,716025313.0
98,26624,13284,shi,762,666675745.0
10,8400,10700,dla,765,14758801.0
192,9476,1278,shi,767,45294593.0
306,15360,13932,shi,764,1091564289.0
400,13764,18914,shi,765,2815236961.0
92,2288,1350,shi,759,5475979.0
404,28340,10584,eye,704,326514241.0
130,112,166,shi,383,2658657.0
410,24592,1850,eye,765,73107265.0
330,4180,2934,dla,766,75240001.0
154,1860,2646,shi,766,12229057.0
326,14800,6600,shi,757,639455521.0
422,10800,11900,shi,764,1007634881.0
436,41328,11950,shi,759,3946882807.0
480,24960,10206,eye,767,235388161.0
226,13440,374,eye,575,31039009.0
482,5376,10206,shi,565,551355463.0
230,15300,3672,shi,645,254306401.0
22,14740,2196,eye,766,5416801.0
4,9380,2682,shi,572,2901925.0
214,22272,8100,shi,757,666096401.0
230,1920,430,dla,766,3386881.0
200,26448,1400,shi,765,127783041.0
22,1792,90,dla,766,86017.0
12,17316,3114,shi,671,11694801.0
452,8820,3924,dla,767,255727081.0
388,3072,390,eye,573,32123521.0
210,37604,2502,shi,765,333303097.0
292,20416,266,shi,574,39989377.0
314,6400,11178,eye,572,63466201.0
228,10672,9050,shi,767,379926965.0
194,23716,24892,shi,757,2234272393.0
486,7056,5350,eye,572,88796305.0
410,15812,90,shi,765,9926101.0
